@relation crimer

@ATTRIBUTE text string
@ATTRIBUTE class {personal,property,inchoate,statutory,financial}

@DATA
'Wyoming Federal Judges Sentence Seven For Drug, Firearms Crimes', statutory
'Traffic stop results in drug arrests', statutory
'Drug policies evolve as addiction becomes a white problem', statutory
'Legislation targets money, property seized in drug crimes', statutory
'AC men indicted on weapons, drug charges in December shooting', statutory
'Colombian politician arrested on drug trafficking charge', statutory
'2 employees, 8 students charged in William & Mary drug bust', statutory
'Sheriff department annual report\: Drug arrests on rise', statutory
'8 arrested after major drug chain busted in Raleigh County', statutory

'Nurse anesthetist indicted on tax evasion charges', financial
'Jury finds former beauty queen guilty on new fraud counts', financial
'HSBC brings in AI to help spot money laundering', financial
'Deputies arrest woman for fraud, other financial crimes' , financial
'Ex-Congressman convicted of financial crimes', financial
'\'He cost taxpayers Â£10m\' tax fugitive Michael Voudouri arrested in Cyprus', financial
'GlaxoSmithKline chiefs \'confess to bribing Chinese doctors\'', financial
'Ex-UBS traders charged over Libor rigging', financial
'Jeweller to the stars flees as India seethes over bank fraud', financial
'India seeks to shut the gates as 31 loan defaulters flee the country' , financial
'Petoskey woman accused of extensive financial scam', financial
'Plainfield tax preparers charged with filing false returns', financial
'EU suspects tax fraud at China\'s new gateway to Europe', financial
'Salinas woman who helped steal $7.5m through tax fraud', financial
'Goshen couple plead guilty to tax fraud charges', financial
'Cybercriminals now targeting tax pros to cash in on fraudulent returns', financial
'Springfield Woman Off To Prison For Tax Fraud Scheme', financial
'Bookkeeper Pleads Guilty To $24 Million Tax Fraud Scheme', financial
'Let these tax fraud stories dissuade you from trying to beat the IRS', financial
'San Jose man arrested for alleged embezzlement scheme', financial
'Police\: Former employee embezzled from Lansing food pantry', financial
'Wichita church reports embezzlement', financial
'Man sentenced in $202000 Social Security embezzlement', financial
'Ex-Ralph Lauren manager gets 20 days for embezzlement', financial
'Cattleman charged with embezzlement in Augusta County', financial
'Attorney accused of embezzlement, perjury', financial
'PTO president faces embezzlement charges', financial
'Granddaughter of Mary McLeod Bethune accused of embezzlement', financial
'Maltese politicians face calls for money laundering inquiry', financial
'Corruption Currents\: UK Refuses Raids in Money-Laundering Probe', financial
'Caixabank in Mafia money laundering probe\: report', financial
'PdVSA Bribery Probe Yields Money-Laundering Guilty Plea', financial
'NIA wing to probe money laundering by Naxals', financial
'Latvian bank asks US to hold off money laundering sanctions', financial
'The Business Deals That Could Imperil Trump', financial
'Montenegro Opposition Leader Tried for Money-Laundering', financial
'Tackling money-laundering in NZ\: More needs to be done', financial
'Taiwan Moves to Capture Bitcoin Under Money Laundering Laws', financial
'Four in the running to be new anti-money laundering kingpin', financial
'Taiwan Central Bank Proposes Money Laundering Rules for Bitcoin', financial
