@relation crimer

@attribute crimetype string
@attribute class {personal,property,inchoate,statutory,financial}

@data
'Hannibal Burress was kicked off stage in Chicago for joking about the Catholic Church',financial
'Suspect in University of Pennsylvania student\'s murder due in California court - Chicago Tribune',financial
'Top officials at Backpage indicted after classifieds site taken offline',financial
'\'Stealth Invasion\' – $4.95 today only!',financial
'Would You Buy a Cocktail Napkin That Detects Date Rape Drugs?: New at Reason',financial
'Federal agent charged with multiple rapes in Wisconsin over four years',financial
'Brothers convicted in fake airplane loan scheme',financial
'WATCH: Kate Upton accuses Guess co-founder of sexual assault',financial
'She went to the ER for a rape exam. Her nurse didn\'t know how to do one.',financial
'Hannibal Buress kicked off stage at Loyola University after joking about priests molesting kids',financial
'Mayor of Chicago suburb of Romeoville faces DUI charge',financial
'East Chicago woman gets 17 years in prison for sex trafficking',financial
'Milwaukee man sentenced to 25 years in prison for sex trafficking',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Trucker faces reckless homicide charges in crash that killed 4 on I-55 near Hamel',financial
'Chicago-area teacher faces 12 sexual assault counts',financial
'Illinois officials to address lack of sexual assault nurses',financial
'Chicago-area teacher faces 12 sexual assault counts',financial
'Hear assault survivor, nurse describe their experiences with the rape kit exam',financial
'Crokin: Drew Barrymore and Eminem Are Trying to Murder People Like Her',financial
'#CopsToo: When Police Officers Use Sexual Assault to Terrorize Vulnerable Communities',financial
'White Sox REHIRE groundskeeper falsely imprisoned of rape and murder',financial
'Bill Cosby is being retried for sexual assault. Here\'s everything you need to know about the case. - Washington Post',financial
'\'Shocked, horrified and angry\': Sexual assault scandal resonates for local gymnastics coaches - AL.com',financial
'Illinois Officials to Address Lack of Sexual Assault Nurses - WJBD Online',financial
'Chicago cop under investigation for sexual assault accusations',financial
'Man charged in 2000 Chicago arson fire that killed 2 women',financial
'Chicago: “Walk-out” Day High School Students Trash Walmart',financial
'Man accused of posing as officer, attempted sexual assault',financial
'Man found guilty of sexually assaulting woman in her Northwestern University dorm room',financial
'BC-US--Sexual Assault-Male Victims,1st Ld-Writethru, US',financial
'BC-US--Sexual Assault-Male Victims,1st Ld-Writethru, US',financial
'Sexual assault reports double at West Point military academy - Chicago Tribune',financial
'Mayor of Chicago suburb of Romeoville faces DUI charge',financial
'Mueller investigating whether Manafort dangled White House job to get loans',financial
'US officer charged with murder of unarmed Australian woman',financial
'Hannibal Buress\'s Joke About Children Being Abused By Priests Gets Cut By Catholic University',financial
'Violent Crime Drops, But Murder Still Up, for First Half of 2017',financial
'Associations of neighbourhood crime with adverse pregnancy outcomes among women in Chicago: analysis of electronic health records from 2009 to 2013',financial
'Detroit Activists Plan Protest Outside Of R. Kelly Concert',financial
'US officer charged with murder of unarmed Australian woman',financial
'Woman charged with sexually assaulting 6-year-old girl in Marquette Park',financial
'Illinois law seeks to improve sexual assault reporting',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Illinois law requires cops to take reports for every sexual assault allegation, get training for sensitivity toward victims',financial
'Murder and homicide rates before and after gun bans',financial
'Brickbat: That Sucks',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Illinois law seeks to improve sexual assault reporting',financial
'Sexual Assault Claim Against Conductor is Credible, Boston Symphony Says',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Illinois man sentenced to 80 years for girl\'s 1985 death',financial
'Chicago cop accused of sucking toes and sexually assaulting hospitalized victim',financial
'Man accused of posing as officer, attempted sexual assault',financial
'Mayor of Chicago suburb of Romeoville faces DUI charge',financial
'Police seek suspect in Little Village sexual assault',financial
'4 Out of the World’s 50 Most Dangerous Cities Are in the US',financial
'WATCH: How fast the flu can affect a patient?',financial
'Trump Administration Wants to Shut Door on Abused Women',financial
'FBI: Violent crime down during first half of 2017, murder rate up',financial
'More victims feared in Chicago soccer coach sex assault case',financial
'WATCH: Nasty winter weather hits a huge part of the country',financial
'Report: Top 100 Most Dangerous Cities in the U.S. (The South did not fare very well)',financial
'Google Opens Maps To Bring the Real World Into Games',financial
'WATCH: Police warning about new heating bill scam',financial
'Hannibal Burress Kicked Off Stage for Joking About Catholic Priests Molesting Kids',financial
'Illinois man ruled sexually violent, will remain in custody',financial
'Chicago Police Superintendent: Criminals Think Chicago\'s Judicial System \'a joke\'',financial
'Zeke Thomas Talks Dealing With \'Daily Trauma\' After Sexual Assault, Debuts New Single \'Love Me Sober\'',financial
'Dominican National Pleads Guilty to Role in National Conspiracy to Sell Identity Documents to Illegal Aliens',financial
'Bill targeting sex abuse in Olympic sports, inspired by Larry Nassar case, nears Trump\'s desk - Washington Post',financial
'Man returns to work as baseball groundsman after 23...',financial
'Lynwood man accused of criminal sexual assault of young teen',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Stone Removed From Upcoming Knocked Loose, Terror, Etc. Tour Following Sexual Assault Allegations',financial
'Cities Where Crime is Soaring in Every State',financial
'What is Bill Cosby’s net worth?',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Chicago brothers convicted in fake airplane loan scheme',financial
'Illinois man ruled sexually violent, will remain in custody',financial
'Man sues Chicago, police for wrongful conviction',financial
'Hannibal Buress upset a Catholic university by highlighting the church’s history of sexual abuse',financial
'Police agencies warn of child porn video circulating on Facebook - KHOU',financial
'Dennis Rodman sentenced to three years probation for DUI arrest',financial
'This Is How Police Can \'Cook the Books\' to Make Crimes Appear Solved',financial
'Other Sites Have Fake News, So SoundCloud Has Fake Music',financial
'Taxi driver accused of sexually abusing woman near Lakeview',financial
'More Survivors To Testify Against US Gymnastics \"Sex Abuse Doctor\"',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Longtime AAU volleyball coach banned following sexual abuse allegations',financial
'White Sox rehire man wrongly jailed 23 years',financial
'Chicago Cubs Co-Owner Todd Ricketts Named New RNC Finance Chairman',financial
'Looking Away from Urban Crime',financial
'Massage therapist claims Steve Wynn sexually harassed her',financial
'Gang member linked to 2014 Hammond homicide sentenced to 23 years',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'The $100,000 Pyramid: Trump Administration Edition',financial
'Chicago White Sox rehire groundskeeper who was wrongly imprisoned for 23 years',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'Exonerated man gets job back, 23 years on',financial
'Chicago cop arrested for sexually assaulting male suspect',financial
'Discovery of Police Corruption Freed Dozens of Imprisoned Americans in 2017',financial
'\'Gringo\' Review: Star-Studded Crime Farce Is Pretty Pitiful Pulp Fiction',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Two women file sexual assault reports against Steve Wynn',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Woman charged with sexually assaulting girl, 6, in Marquette Park',financial
'The most violent city in every US state, according to the FBI',financial
'Today’s Headlines for Thursday, March 1',financial
'Man wrongfully convicted of rape and murder returns to White Sox job',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Ex-Subway spokesperson pleaded guilty for having child porn sues government and attorneys $57million',financial
'After Making Shooting Threat, Judge Bans Teen From Playing Violent Video Games',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'One of the \'Worst DUI Offenders in the Country\' Arrested Again, Illinois Police Say - KTLA',financial
'Fathers\' Rights Attorney Jeffery M. Leving Supports April 2018 as National Child Abuse Prevention Month',financial
'David Mamet Wrote the Sexual Assault Play No One Needs. No, a Different One.',financial
'Travis Walton Denies Assault Allegations During Time at Michigan State',financial
'Indiana man faces life in jail for triple homicide',financial
'Man who yelled \'get out of my country\' before killing Indian immigrant pleads guilty, faces life sentence - Chicago Tribune',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Man facing felony charges in connection with sexual assault on Blue Line platform',financial
'Illinois officials to address lack of sexual assault nurses',financial
'Lisa Madigan pushes for bill to require training before treating sexual assault patients',financial
'Some male sexual assault victims feel left behind by...',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'The Kidnappings Americans Won\'t Do',financial
'Some male sexual assault victims feel left behind by...',financial
'raceAhead: Michael Ferro Out At Tronc',financial
'Crime Report: Alleged Public Masturbator Returns to Scene of the Crime',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Some male sexual assault victims feel left behind by #MeToo',financial
'Trump\'s federal help saving Chicago from its own judicial system failure',financial
'A Catholic University Cut Hannibal Buress\'s Mic Over a Joke About the Church\'s History of Sex Abuse',financial
'Study: 42 of the 50 Most Violent Peacetime Cities in the World Are in Latin America',financial
'US police officer charged with murder of Australian woman',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'In Jennifer Lawrence\'s \'Red Sparrow,\' A Woman Must Be Raped Before She Can Be Strong - Bustle',financial
'High school coach charged with sexually assaulting students',financial
'Homicide toll in big U.S. cities fell slightly in 2017',financial
'Sheriff\'s investigators recommend firing 3 supervisors, 4 deputies following alleged courthouse sex assault',financial
'Accused of damaging more than a dozen vehicles, Des Plaines tow truck driver ordered held without bond',financial
'Police seek suspect in sexual assault of 12-year-old',financial
'Teacher Who Claimed Common Core Necessary Because of ‘White Privilege’ Arrested',financial
'McHenry County man gets 12 years in prison for sexual assault of woman',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Six charged in ID theft ring that allegedly skimmed credit cards at 100 Chicago-area gas stations',financial
'Indictment links more alleged members of Latin Dragon Nation gang to Northwest Indiana murders',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'In essay revealing he was raped at age 8, novelist Junot Diaz shines light on male sexual assault',financial
'The most violent city in every US state, according to the FBI',financial
'The Story of Two men from Chicago',financial
'Illinois child welfare worker\'s death ruled a homicide',financial
'Sexual assault reports against Wynn filed with Vegas...',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Illinois child welfare worker\'s death ruled a homicide',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Woman killed in Boystown hit-and-run',financial
'Psycho kills Illinois girl in 1983, cops railroad innocent pair',financial
'Two Women Have Filed Sexual Assault Reports Against Steve Wynn',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Sexual assault reports against Wynn filed with Vegas police',financial
'Removing murder statistics from just five cities has little impact on nation\'s worldwide ranking',financial
'Startup founder accuses Silicon Valley VC of sexual assault',financial
'Female startup founder accuses Silicon Valley VC of sexual assault',financial
'Female startup founder accuses Bay Area VC of sexual assault',financial
'Female startup founder accuses Silicon Valley VC of sexual assault',financial
'Female startup founder accuses Bay Area VC of sexual assault',financial
'Man sues Chicago, police for wrongful conviction',financial
'How Trump is enforcing immigration law',financial
'CCW Weekend: 3 Ways To Reduce Gun Deaths That Aren’t An Assault Weapon Ban',financial
'Woman sentenced in videotaped beating case',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'Female startup founder accuses Silicon Valley VC of sexual assault',financial
'Female startup founder accuses Bay Area VC of sexual assault',financial
'NeighborhoodScout® Reveals the Top 100 Safest Cities in the U.S. for 2018',financial
'Uber introduces new safety features, including 911 access',financial
'Man charged with murder in 2 arson deaths at West Side store in 2000',financial
'Fraud charges filed against closed training center workers',financial
'Significant Digits For Tuesday, April 10, 2018',financial
'Fewer Innocent Inmates Were Released From Prison In 2017, Study Says',financial
'Female Startup Founder Accuses Silicon Valley VC of Sexual Assault on Plane',financial
'Ex-Trump campaign aide Rick Gates pleads guilty to conspiracy',financial
'Baltimore is the nation\'s most dangerous city',financial
'Illinois County Will Force Blood Test on Drivers Who Refuse Breathalyzer',financial
'Here Are 8 Stubborn Facts on Gun Violence in America',financial
'Chicago taxis to screen David Schwimmer anti-sex harrassment videos',financial
'Bill Cosby\'s retrial: What you need to know before opening statements',financial
'Coleman returns to grounds crew for opener',financial
'Trouble Lends An Assist On Rico Recklezz\'s \"Fake Love\"',financial
'Schimel objects to Bar plan to honor lawyer convicted in sex assault',financial
'House passes anti-online sex trafficking bill, allows targeting of websites like Backpage.com - Washington Post',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Chicago police Cmdr. Paul Bauer shot six times, prosecutors allege as suspect held without bail',financial
'Suit accuses Concordia University of negligence in sex abuse case involving ex-coach',financial
'Meet one of Russian President Vladimir Putin\'s top enemies. He\'s a guy from Chicago - USA TODAY',financial
'Illinois child welfare worker\'s death ruled a homicide',financial
'Charges dropped against 2 who alleged Chicago police abuse',financial
'45 years in prison for attack on South Dakota trooper',financial
'Spanish police rescue Nigerian girls sold for sex after...',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial - Washington Post',financial
'Comedian Hannibal Buress gets shut down on stage for rape jokes',financial
'Bill enabling prosecutors to pursue websites that host sex traffickers heads to White House',financial
'Bill enabling prosecutors to pursue websites that host sex traffickers heads to White House',financial
'Pulse Nightclub Shooter’s Widow Found Not Guilty',financial
'\'Certificates of innocence\' given wrongly convicted men',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'Brother of murder suspect charged with gun trafficking',financial
'Brother of murder suspect charged with gun trafficking',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'Brothers convicted in fake airplane loan scheme',financial
'Brothers convicted in fake airplane loan scheme',financial
'Brothers convicted in fake airplane loan scheme',financial
'Brothers convicted in fake airplane loan scheme',financial
'Brothers convicted in fake airplane loan scheme',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'Brothers convicted in fake airplane loan scheme',financial
'Man found guilty in sexual assault of woman in NU dorm room',financial
'Ex-soccer coach pleads not guilty in sex assault case',financial
'Sexual assault reports against Wynn filed with Vegas...',financial
'Hannibal Buress’ Mic Cut at Catholic University Show',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'Hannibal Buress stand-up set is interrupted at Loyola after his sex-abuse joke - Chicago Tribune',financial
'Chicago employment training center faked students to apply for federal funds, charges say',financial
'Sexual Assault Claim Against Conductor Dutoit Is Credible, Boston Symphony Says',financial
'Sexual Assault Claim Against Conductor Dutoit Is Credible, Boston Symphony Says',financial
'Wrongly-convicted man gets job back with the White Sox after 23 years in prison',financial
'The FBI also probed payments to college athletes in the \'80s. It didn\'t end well.',financial
'Chicago Homicides 2018, a Second Look with R',financial
'Morgan Stanley failed to act on sexual assault complaints about top broker for 15 years',financial
'CPS Safe Passage worker arrested for drug possession',financial
'Mueller is reportedly investigating whether Manafort promised a wealthy banker a spot in Trump\'s Cabinet in exchange for $16 million',financial
'Chicago-area man convicted in sweeping sex trafficking case',financial
'Prosecutors Accuse Chicago Trader of $2 Million Crypto Theft',financial
'Chicago police investigating home invasion, sexual assault on Far Southeast Side',financial
'White Sox rehire man who wrongly spent decades in prison',financial
'BAFTA ousts Harvey Weinstein over sex abuse claims',financial
'Driver Charged With DUI After Fatally Striking Brenda L. Schrader, 55',financial
'Male victims of sex abuse feel left behind by #MeToo parade',financial
'Suburban Chicago man charged with sexual assault of 5-year-old girl',financial
'Man who set fire on CTA train charged with arson, battery to officer',financial
'Former Florida football player convicted of $20 million healthcare fraud conspiracy - Miami Herald',financial
'Mystery of bound woman found hanged at Coronado mansion goes to court',financial
'Police identify men who led them on wild chase',financial
'Patricia Li Klayman\'s teddies were way smarter than the average bear',financial
'Stone kicked off Knocked Loose tour after sexual assault allegations',financial
'Chicago PD\'s Marina Squerciati Opens Up About Dark Burgess',financial
'Venture capitalist accused of sexual assault in latest #MeToo charges',financial
'Michigan State turns over materials to Attorney General',financial
'US officer who fatally shot Australian woman charged with murder',financial
'Renter thought to be \'decent man\' gets 34 years for sexual assault of landlord\'s young daughters',financial
'Cosby wants sexual assault case tossed or witnesses limited - ABC News',financial
'After 23 years in prison for crime he didn’t commit, man returns to job with White Sox',financial
'Two Indian-Americans charged with deceptive trading practices',financial
'Man convicted of murder in 1985 is charged in North Side YMCA killing',financial
'Loyola Chicago Cuts Off Comedian Hannibal Buress\'s Mic After Politically Incorrect Performance',financial
'Utah woman sues Mormon church alleging rape by leader in 1980s - Chicago Tribune',financial
'Charlotte added to list of ‘deadliest U.S. cities.’ See where it ranked.',financial
'‘Convicting A Murderer’: Steven Avery Follow-Up In The Works By Documentary Filmmaker Shawn Rech',financial
'Mom fears confrontation with man accused in hate crime will have harmful impact on son, 12',financial
'Essential California: Fate of Harvey Weinstein sexual assault cases now in hands of two cautious prosecutors',financial
'‘Cannabis candidate’ in Illinois has alleged history of domestic abuse',financial
'Man held in investigation into hit-and-run death of his children\'s mother, police say',financial
'Chicago man skips final day of trial at which jury finds him guilty of attempted murder',financial
'Survivors of Sexual Abuse at the U.N. Say Their Stories Have Been Ignored For Far Too Long',financial
'Bill Cosby Heads to Court to Stop Accusers from Testifying in Retrial as Prosecutors Seek To Call 19 Women to the Witness Stand',financial
'Illegals charged for voting in presidential election',financial
'Texas Police Will Investigate Sexual Assault Allegations at Karolyi Ranch - New York Times',financial
'First transgenderism, now \"trans-age?\" Bizarre new claim is an LGBT license for scary old guys to rape little children',financial
'Suspect in police killing wore body armor, but authorities say that\'s not unheard of',financial
'Man charged with attacking women in South Loop, Wrigleyville',financial
'Feds file charge in first Chicago cryptocurrency fraud',financial
'Feds in Chicago charge trader with cryptocurrency fraud',financial
'Hannibal Buress Mic Cut After Joking About Sexual Abuse at Catholic University Show',financial
'5 of these 8 accusers could testify at Bill Cosby\'s retrial',financial
'Ex-soccer coach pleads not guilty in sex assault case',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Chicago police officer accused of sexually assaulting hospitalized suspect',financial
'Chicago police officer charged with sexually assaulting suspect in custody',financial
'Hollywood is having a #MeToo moment. Women of color have fought this battle for decades.',financial
'WGN News crew witnesses hit-and-run in Austin neighborhood',financial
'Video: Police Taser Man on American Flight After Racist Tirade, Sexual Assault',financial
'Illinois man jailed for decades found not guilty at...',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Trump gets bill eliminating shield for websites posting outside sex-trafficking content',financial
'Illinois man jailed for decades found not guilty at retrial',financial
'Sexual assault reports against Steve Wynn filed with Las Vegas police',financial
'Chicago cop under investigation for alleged sexual assault while on duty',financial
'Brother of murder suspect charged with gun trafficking',financial
'Trump gets bill eliminating shield for websites posting outside sex-trafficking content',financial
'Sex workers fear violence as US cracks down on online ads: \'Girls will die\'',financial
'Photographer records Chicago murder epidemic...',financial
'Good news on crime, bad news for the phony war on ‘sanctuary cities’',financial
'Tuesday\'s Sports in Brief',financial
'Photographs capture the memorials of victims to violence in Chicago',financial
'Chicago cop charged with sexually assaulting suspect who was in custody',financial
'Google Maps’ Cool New Tool Turns Your Real City Into A Game',financial
'‘Serial stowaway’ arrested at Chicago airport days after leaving jail',financial
'Witness shot several times after following hit-and-run suspect in Humboldt Park',financial
'Illinois police announce Super Bowl weekend DUI enforcement',financial
'Hannibal Buress kicked off stage for priest molestation jokes',financial
'Here Are 8 Stubborn Facts on Gun Violence in America',financial
'Catholic University Cuts Off Hannibal Buress’ Mic Over Joke About Priests Molesting Children',financial
'High school soccer coach pleads not guilty to sex with students',financial
'Hannibal Buress\' mic cut off after joke about Catholic Church\'s history of molestation - Fox News',financial
'France\'s Jewish leaders raise the alarm over brutal murder of Holocaust survivor - Chicago Tribune',financial
'Good Morning, News: Blazers Clinch Playoffs, Trump Declares DACA Dead, and Lots More \"Fake News\"',financial
'Accused of assaulting 3 young girls, man says he\'s boy trapped in adult\'s body',financial
'Manafort\'s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Geneva woman gets life in prison for plotting to fire bomb Canadian mall - Chicago Daily Herald',financial
'High school coach charged with sexually assaulting students',financial
'Spanish police rescue Nigerian girls sold for sex after voodoo threats',financial
'Hannibal Buress’ Mic Cut After Joking About Molestation in Catholic Church',financial
'Who Was Andrew Cunanan\'s Father? \'The Assassination Of Gianni Versace\' Dramatizes An Unusual Childhood - Bustle',financial
'Women file sexual assault reports against Steve Wynn with Vegas police',financial
'An ‘ACLU Effect’ on Chicago Homicides?',financial
'US to Investigate Michigan State University Over Nassar Sexual Assaults - Wall Street Journal',financial
'‘American Crime Story’ Fact Check: Did Andrew Cunanan’s Dad Really Flee the Country?',financial
'American who plotted thwarted Canadian rampage gets life in prison',financial
'Soccer coach faces charges she sexually assaulted students',financial
'Manafort\'s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Pedophile Identifies as a 9-Year-Old',financial
'US gymnastics coach faces child porn charges',financial
'Man on probation for domestic abuse charged with killing fellow gang member',financial
'Manafort\'s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Manafort\'s LA bankruptcy fight may offer new avenue for Mueller probe',financial
'Nurse allegedly paid hitman $10,000 in bitcoin to kill her lover\'s wife',financial
'Cab driver charged in sexual attack',financial
'2 sue Chicago cops they say framed them in slayings',financial
'‘Certificates of innocence’ given wrongly convicted men',financial
'RED SPARROW RAUNCH + Gay Teachers\' Dilemma + Pretty P!nk + Hate Crime Denial + Ugandan Prez Warns About Oral Sex + BOYS IN THE BAND AIDS Memorial + Starbucks Fallout + MORE! — 12-PACK',financial
'More than two dozen people indicted in bust of major heroin trafficking ring in northern Minnesota',financial
'Man guilty of sex assault on 2 girls, faces life in prison',financial
'Judith Light shines in yet another role',financial
'Ex-soccer coach pleads not guilty in sex assault case',financial
'DMX Sentenced to One Year in Prison for Tax Evasion Case',financial
'TRANS-AGE: Pedophile Charged With Abusing 3 Girls Says He\'s A 9-Year-Old Trapped In Man\'s Body',financial
'Is London\'s murder rate really worse than New York\'s?',financial
'Police shootings: Trials, convictions are rare for officers',financial
'Man get prison in Michigan crash that killed fire chief',financial
'White Sox rehire wrongfully imprisoned man',financial
'Juarez high school guard charged with sex assault in relationship with teen girl',financial
'White Sox groundskeeper back on job after 23 years in prison',financial
'\'Panama Papers\' law firm shuts down operations',financial
'Michigan State says it didn\'t discourage student from reporting alleged sexual assault',financial
'Two Indian Americans charged with deceptive trading practices',financial
'White Sox groundskeeper back on job after 23 years in prison',financial
'Judge declines motion to dismiss drug charge against Rose McGowan',financial
'Man convicted of sexually assaulting 2 girls, faces life in prison',financial
'Italian mafia: How crime families went global',financial
'Pedestrian killed in hit-and-run crash Sunday in Detroit',financial
'Illinois police announce Super Bowl weekend DUI enforcement',financial
'Police chief: Minnesota mom one of worst DWI offenders we\'ve ever arrested - Minneapolis Star Tribune',financial
'\'American Crime Story\' revisits the Chicago murder of Lee Miglin',financial
'45 years in prison for attack on South Dakota trooper',financial
'\'Famous\' DJ arrested after 39 women and girls suspected of being trafficked for sex are rescued',financial
'EMANUEL’s inevitable RUNOFF — DURBIN in VENEZUELA — RAUNER’s obscured VET home emails',financial
'Lawyers for Chicago, man shot by officer settle lawsuit',financial
'Hannibal Buress Was Kicked Off Stage At Loyola After Joking About Catholic Priests And Sexual Assault',financial
'Why is Chicago violent crime in decline?',financial
'In tense pretrial hearing, judge in Bill Cosby case refuses to recuse himself - Washington Post',financial
'Brothers convicted in fake airplane loan scheme',financial
'Lawyers for Chicago, man shot by officer settle lawsuit',financial
'CCHR Launches Petition for Laws Against Psychiatrist/Psychologist Sexual Abuse',financial
'Mario Batali hides ring finger on NYC stroll after sexual misconduct',financial
